"","Jour","Entreprises ","PME/PMI","Professionnels","Résidentiels","Total"
"243",2019-12-30,"11102681020.0",38430941,138642,46944309,50641219713
"244",2020-01-20,"14677476020.0",49331968,227654,52855263,55854679097
"245",2020-01-26,"9576245131.0",36855954,168467,50586462,46108252787
"246",2020-02-02,"9085597118.0",33677563,131698,38643789,38282105370
"247",2020-02-04,"14594277720.0",46461679,177055,39742982,47191353728
"248",2020-02-05,"14780256946.0",48182540,185620,45315746,49589773467
"249",2020-02-22,"10324719231.0",38755024,159020,47064898,43015816383
"250",2020-02-28,"14129683743.0",48377003,224152,50904104,50270637403
"251",2020-03-13,"13576954761.0",45346626,167970,41894223,43919068708
"252",2020-03-25,"10824182179.0",36814387,110156,47962735,39891113751
"253",2020-03-26,"10836312869.0",37651886,122800,48285011,40756050337
"254",2020-03-31,"10994056110.0",38277986,127520,50382461,41900802362
"255",2020-04-05,"7493533571.0",31968574,82103,37130308,30926164531
"256",2020-04-07,"10688867284.0",39651796,90128,31240448,33141336483
"257",2020-04-08,"10715013111.0",40855017,78142,30795197,32021835362
"258",2020-04-14,"10388420130.0",39451955,85282,29616862,31720771953
"259",2020-04-17,"10497707368.0",44500546,79080,27121461,30252133102
"260",2020-04-27,"10474574418.0",41271398,83554,26402547,30059842924
"261",2020-05-03,"7294434696.0",29586792,76213,30925851,27515254485
"262",2020-05-05,"11422965736.0",38168809,70937,26957005,31095812408
"263",2020-05-17,"7537046738.0",30050638,215108,29814336,26937558711
"264",2020-05-25,"11360612539.0",47776877,227492,25026589,30092637354
"265",2020-06-01,"9134916578.0",46722858,179073,25844243,26687039994
"266",2020-06-02,"12354296511.0",58677613,234176,24040595,31045674012
"267",2020-06-05,"11973035657.0",48782941,276417,25494311,30827965640
"268",2020-06-09,"12563859651.0",51244796,288201,26226829,32116940803
"269",2020-06-11,"12586604449.0",52164849,304183,26674624,32319052036
"270",2020-06-25,"13842361722.0",75614439,293582,25868215,33921339697
"271",2020-06-26,"13165527787.0",72857722,317169,25950265,32998459043
"272",2020-06-28,"8361208265.0",57591606,214453,28167003,26565814642
"273",2020-07-05,"8794116726.0",65224088,209385,28868965,27141158561
"274",2020-07-07,"13788542995.0",85968904,269934,26276479,33278276176
"275",2020-07-08,"13986553108.0",88507262,289788,27757503,33769293512
"276",2020-07-25,"9870396030.0",84091438,233466,29144536,29338642168
"277",2020-07-31,"13100370943.0",95858320,295422,29699968,34466032879
"278",2020-08-24,"12066517420.0",68391340,282952,29435318,31090539148
"279",2020-08-25,"13190670084.0",70864166,295612,29258009,32388337184
"280",2020-09-01,"13126514218.0",61321083,429831,30589532,32517580236
"281",2020-09-02,"13299427797.0",63257038,367022,32368220,32710064181
"282",2020-09-04,"13274504690.0",65386147,444495,30288943,32748439685
"283",2020-09-09,"13790241998.0",63632465,383723,32438831,33287262359
"284",2020-09-11,"13341405766.0",63013701,434515,30825459,32862050857
"285",2020-09-19,"9959165702.0",50016283,348513,34239816,29017702980
"286",2020-09-25,"13194981468.0",51371261,503945,34665348,33193448180
"287",2020-10-03,"9544590210.0",42005854,405644,50226078,33569062477
"288",2020-10-09,"13179503651.0",48446732,515788,42579241,36281411505
"289",2020-10-12,"13094121287.0",49290305,427128,54108934,39837112321
"290",2020-10-18,"8680491960.0",41617368,365866,64377606,36020181708
"291",2020-10-23,"13034191808.0",48464549,490479,48525788,36865398946
"292",2020-11-28,"9928495371.0",41719095,432320,95691398,41336847711
"293",2020-12-01,"14435848898.0",56728230,702170,108199404,51167479560
"294",2020-12-07,"14043227793.0",57256427,820531,124591830,54185166951
"295",2020-12-11,"13886638882.0",56563776,831831,115456568,51677453562
"296",2020-12-18,"13073411540.0",52974909,750328,99721716,46646500975
"297",2020-12-20,"8851754539.0",40637717,516115,100609928,40549661859
"298",2020-12-31,"10242334334.0",52154851,720020,132437901,50531517575
"299",2021-01-08,"14298661402.0",2830266231,1086545,156324611,60595112298
